OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,148134.771476061,526121353.974295
2,98002,98002,033,Standard,King County,AUBURN,105168.476822799,204445228.297903
3,98003,98003,033,Standard,King County,FEDERAL WAY,121645.069928393,316981231.584502
4,98004,98004,033,Standard,King County,BELLEVUE,108801.063325788,201451202.931717
5,98005,98005,033,Standard,King County,BELLEVUE,116930.354130937,211273337.580274
6,98006,98006,033,Standard,King County,BELLEVUE,108583.952116362,322552207.970877
7,98007,98007,033,Standard,King County,BELLEVUE,113766.570642484,116056757.661735
8,98008,98008,033,Standard,King County,BELLEVUE,93287.4807701551,153643021.770891
9,98010,98010,033,Standard,King County,BLACK DIAMOND,134379.979850911,518397792.753291
10,98011,98011,033,Standard,King County,BOTHELL,73480.1794230176,197850023.354835
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2710.68922786643,150283.790724959
12,98012,98012,061,Standard,Snohomish County,BOTHELL,112199.069878848,422046666.341625
13,98014,98014,033,Standard,King County,CARNATION,227524.533743361,1160183705.47592
14,98019,98019,033,Standard,King County,DUVALL,312686.671566078,3189331496.64961
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896636,2266669.88920626
16,98020,98020,061,Standard,Snohomish County,EDMONDS,66203.7135701415,142247023.214042
17,98021,98021,061,Standard,Snohomish County,BOTHELL,103819.800609467,272544934.806759
18,98022,98022,033,Standard,King County,ENUMCLAW,734601.564889546,11361441816.0042
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,295979.59225798,2507633660.90162
20,98023,98023,033,Standard,King County,FEDERAL WAY,92184.5953359529,290551886.543622
21,98024,98024,033,Standard,King County,FALL CITY,366255.516208977,2194725626.70308
22,98026,98026,061,Standard,Snohomish County,EDMONDS,133289.423884277,258888373.428059
23,98027,98027,033,Standard,King County,ISSAQUAH,280090.861845059,1588700338.64229
24,98028,98028,033,Standard,King County,KENMORE,75146.2220218774,173233183.696838
25,98029,98029,033,Standard,King County,ISSAQUAH,113455.343980509,270219334.639913
26,98030,98030,033,Standard,King County,KENT,94349.8180148396,200119664.086372
27,98031,98031,033,Standard,King County,KENT,116930.42881455,228054211.211566
28,98032,98032,033,Standard,King County,KENT,162578.137630594,480428912.045043
29,98033,98033,033,Standard,King County,KIRKLAND,99072.3845867416,256873975.405078
30,98034,98034,033,Standard,King County,KIRKLAND,95926.5693411059,272328920.736234
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,111908.700992278,267158459.054991
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,78136.4159390061,168863901.907376
33,98038,98038,033,Standard,King County,MAPLE VALLEY,315896.766090816,1649765965.09348
34,98039,98039,033,Standard,King County,MEDINA,37222.7269612951,39346823.5767694
35,98040,98040,033,Standard,King County,MERCER ISLAND,75519.6591026005,175584208.596036
36,98042,98042,033,Standard,King County,KENT,208579.219093387,762832084.115121
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,46970.6897693763,115804612.755818
38,98045,98045,033,Standard,King County,NORTH BEND,640381.131332578,8056291069.72413
39,98047,98047,033,Standard,King County,PACIFIC,41647.2478662608,48681262.8408739
40,98047,98047,053,Standard,Pierce County,PACIFIC,19937.7304027148,19319883.4562564
41,98050,98050,033,Standard,King County,PRESTON,62720.6505376445,39535965.4162419
42,98051,98051,033,Standard,King County,RAVENSDALE,211663.339565828,1150005809.72744
43,98052,98052,033,Standard,King County,REDMOND,167026.535902539,546866727.75738
44,98053,98053,033,Standard,King County,REDMOND,199008.592886837,771625783.142724
45,98055,98055,033,Standard,King County,RENTON,67549.040161188,124512596.378541
46,98056,98056,033,Standard,King County,RENTON,91939.8024901663,198255319.850878
47,98057,98057,033,Standard,King County,RENTON,85001.2431123503,184608915.074618
48,98058,98058,033,Standard,King County,RENTON,172557.150593058,627622243.936422
49,98059,98059,033,Standard,King County,RENTON,146091.39130467,462163566.650114
50,98065,98065,033,Standard,King County,SNOQUALMIE,345717.472070119,2404508901.03057
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,13157.5200927391,2820205.0178678
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.818473637,1770029111.04895
53,98070,98070,033,Standard,King County,VASHON,272819.693396191,1010295820.04487
